Sampling current and voltage from /sys/devices/pci0000:c0/0000:c0:01.1/0000:c3:00.1/xmc.u.19922944
Cadence = 0.1 seconds
Time, Current, Voltage
2022-11-16T12:10:09,572804408+0000, 1354, 12296
2022-11-16T12:10:09,681559603+0000, 1354, 12296
2022-11-16T12:10:09,788916313+0000, 1354, 12296
2022-11-16T12:10:09,895182202+0000, 1354, 12296
2022-11-16T12:10:10,002214078+0000, 1354, 12296
2022-11-16T12:10:10,109025573+0000, 1354, 12296
2022-11-16T12:10:10,215459925+0000, 1354, 12296
2022-11-16T12:10:10,322369022+0000, 1354, 12296
2022-11-16T12:10:10,429175257+0000, 1354, 12296
2022-11-16T12:10:10,535426419+0000, 1354, 12296
2022-11-16T12:10:10,654497164+0000, 1387, 12308
